product_name,product_url,image_url,current_price,original_price,discount_percentage,discount_amount,brand,category,product_type
Samsung S24FE Flip Suit Case - Red (MS721CRE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-flip-suit-case-red-ms721cre.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide4_o47f-wz.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",58.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Clear Case (FPS721AMATW),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-clear-case-fps721amatw.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide3_e2ii-95.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",38.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Wallet Case - Black (ZS721CBE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-wallet-case-black-zs721cbe.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Slide1.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",68.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Wallet Case - White (ZS721CWE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-wallet-case-white-zs721cwe.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide1_8aa3-mj.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",68.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Wallet Case - Mint (ZS721CME),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-wallet-case-mint-zs721cme.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide1_hpyu-1v.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",68.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Wallet Case - Blue (ZS721CLE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-wallet-case-blue-zs721cle.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide1_x3n3-sh.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",68.0,0.0,0.0,0.0,Samsung,Accessories,case
Samsung S24FE Standing Grip Case - Black (GS721CNE),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/cases-and-covers/samsung-s24fe-standing-grip-case-black-gs721cne.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide1_jq4m-00.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",68.0,0.0,0.0,0.0,Samsung,Accessories,case
Hisense S7N 55-Inch QLED 4K Canvas TV - Black (HS55S7N),https://www.harveynorman.com.sg/tv-and-audio/tvs-en-2/tvs-en-3/hisense-s7n-55-inch-qled-4k-canvas-tv-black-hs55s7n.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Hisense_S7N_55-Inch_QLED_4K_Canvas_TV_-_Black_(HS55S7N).jpg?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",1899.0,2999.0,36.68,1100.0,Hisense,TV,tv
Hisense S7N 65-Inch QLED 4K Canvas TV - Black (HS65S7N),https://www.harveynorman.com.sg/tv-and-audio/tvs-en-2/tvs-en-3/hisense-s7n-65-inch-qled-4k-canvas-tv-black-hs65s7n.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Hisense_S7N_65-Inch_QLED_4K_Canvas_TV_-_Black_(HS65S7N).jpg?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",2399.0,3999.0,40.01,1600.0,Hisense,TV,tv
Hisense Q6N 55-inch QLED Max 4K Google TV - Black (HS55Q6N),https://www.harveynorman.com.sg/smart-tech-and-phones/smart-home/smart-tvs/hisense-q6n-55-inch-qled-max-4k-google-tv-black-hs55q6n.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Hisense_Q6N_55-inch_QLED_Max_4K_Google_TV_-_Black_(HS55Q6N).JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",799.0,1699.0,52.97,900.0,Hisense,TV,tv
Hisense Q6N 65-inch QLED Max 4K Google TV - Black (HS65Q6N),https://www.harveynorman.com.sg/smart-tech-and-phones/smart-home/smart-tvs/hisense-q6n-65-inch-qled-max-4k-google-tv-black-hs65q6n.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Hisense_Q6N_65-inch_QLED_Max_4K_Google_TV_-_Black_(HS65Q6N).JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",1149.0,2199.0,47.75,1050.0,Hisense,TV,tv
Hisense Q6N 75-inch QLED Max 4K Google TV - Black (HS75Q6N),https://www.harveynorman.com.sg/smart-tech-and-phones/smart-home/smart-tvs/hisense-q6n-75-inch-qled-max-4k-google-tv-black-hs75q6n.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Hisense_Q6N_75-inch_QLED_Max_4K_Google_TV_-_Black_(HS75Q6N).JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",1599.0,2699.0,40.76,1100.0,Hisense,TV,tv
Hisense U7N 65-Inch Mini-LED PRO ULED Smart TV - Black (HS65U7N),https://www.harveynorman.com.sg/smart-tech-and-phones/smart-home/smart-tvs/hisense-u7n-65-inch-mini-led-pro-uled-smart-tv-black-hs65u7n.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Hisense_U7N_65-Inch_Mini-LED_PRO_ULED_Smart_TV_-_Black_(HS65U7N).JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",2499.0,3399.0,26.48,900.0,Hisense,TV,tv
Toshiba 411L Top Mounted Freezer Fridge - White (GR-RT559WE-PMX(21S)),https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/fridges/toshiba-411l-top-mounted-freezer-fridge-white-gr-rt559we-pmx-21s.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Toshiba_411L_Top_Mounted_Freezer_Fridge_-_White_(GR-RT559WE-PMX(21S))_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",989.0,1199.0,17.51,210.0,Toshiba,Refrigerator,fridge
Toshiba 411L Top Mounted Freezer Fridge - Black (GR-RT559WE-PMX(22S)),https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/fridges/toshiba-411l-top-mounted-freezer-fridge-black-gr-rt559we-pmx-22s.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Toshiba_411L_Top_Mounted_Freezer_Fridge_-_Black_(GR-RT559WE-PMX(22S))_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",989.0,1199.0,17.51,210.0,Toshiba,Refrigerator,fridge
Brandt 60CM Free Standing Dishwasher - Ice Blue (DWF3128DW),https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/dishwashers-en/brandt-60cm-free-standing-dishwasher-ice-blue-dwf3128dw.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Brandt_60CM_Free_Standing_Dishwasher_-_Ice_Blue_(DWF3128DW)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",670.0,690.0,2.9,20.0,Brandt,Dishwasher,dishwasher
Brandt 60CM Dishwasher Free Standing Dishwasher - Silver (DWF147DS),https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/dishwashers-en/brandt-60cm-dishwasher-free-standing-dishwasher-silver-dwf147ds.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Brandt_60CM_Dishwasher_Free_Standing_Dishwasher_-_Silver_(DWF147DS)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",830.0,0.0,0.0,0.0,Brandt,Dishwasher,dishwasher
Brandt 30CM Wok Burner Domino Gas Hob - Black (BPG3325B),https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/cooker-hobs-en/brandt-30cm-wok-burner-domino-gas-hob-black-bpg3325b.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Brandt_30CM_Wok_Burner_Domino_Gas_Hob_-_Black_(BPG3325B)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",890.0,0.0,0.0,0.0,Brandt,Kitchen Appliance,burner
Brandt 30CM 2 Burner Domino Gas Hob - Black (BPG3320B),https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/cooker-hobs-en/brandt-30cm-2-burner-domino-gas-hob-black-bpg3320b.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/Brandt_30CM_2_Burner_Domino_Gas_Hob_-_Black_(BPG3320B)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",690.0,0.0,0.0,0.0,Brandt,Kitchen Appliance,burner
JisuLife Life9 3600mAh Handheld Fan - Black,https://www.harveynorman.com.sg/home-appliances/fans/cooler-fans-en/jisulife-life9-3600mah-handheld-fan-black.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/JisuLife_Life9_3600mAh_Handheld_Fan_-_Black_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",28.4,30.0,5.33,1.6000000000000014,JisuLife,Small Appliance,fan
JisuLife Life9 3600mAh Handheld Fan - Pink,https://www.harveynorman.com.sg/home-appliances/fans/cooler-fans-en/jisulife-life9-3600mah-handheld-fan-pink.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/JisuLife_Life9_3600mAh_Handheld_Fan_-_Pink_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",28.4,30.0,5.33,1.6000000000000014,JisuLife,Small Appliance,fan
JisuLife Life9 5000mAh Handheld Fan - Pink,https://www.harveynorman.com.sg/home-appliances/fans/cooler-fans-en/jisulife-life9-5000mah-handheld-fan-pink.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/JisuLife_Life9_5000mAh_Handheld_Fan_-_Pink_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",33.0,35.0,5.71,2.0,JisuLife,Small Appliance,fan
JisuLife Life9 5000mAh Handheld Fan - Grey,https://www.harveynorman.com.sg/home-appliances/fans/cooler-fans-en/jisulife-life9-5000mah-handheld-fan-grey.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/JisuLife_Life9_5000mAh_Handheld_Fan_-_Grey_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",33.0,35.0,5.71,2.0,JisuLife,Small Appliance,fan
JisuLife Pro1S Metal 5000mAh Handheld Fan - Pale Brown (FA53),https://www.harveynorman.com.sg/home-appliances/fans/cooler-fans-en/jisulife-pro1s-metal-5000mah-handheld-fan-pale-brown-fa53.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/JisuLife_Pro1S_Metal_5000mAh_Handheld_Fan_-_Pale_Brown_(FA53)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",70.8,76.0,6.84,5.200000000000003,JisuLife,Small Appliance,fan
JisuLife  Life5 Plus 4000mAh Handheld Fan Brown (FA43),https://www.harveynorman.com.sg/home-appliances/fans/cooler-fans-en/jisulife-life5-plus-4000mah-handheld-fan-brown-fa43.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/JisuLife__Life5_Plus_4000mAh_Handheld_Fan_Brown_(FA43)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",20.0,21.0,4.76,1.0,JisuLife,Small Appliance,fan
JisuLife  Life5 Plus 4000mAh Handheld Fan White (FA43),https://www.harveynorman.com.sg/home-appliances/fans/cooler-fans-en/jisulife-life5-plus-4000mah-handheld-fan-white-fa43-en.html,"https://hnsgsfp.imgix.net/4/images/detailed/147/JisuLife__Life5_Plus_4000mAh_Handheld_Fan_White_(FA43)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",20.0,21.0,4.76,1.0,JisuLife,Small Appliance,fan
LG InstaView™ Fridge with MoodUP™ LED Colour Panels - GF-Q527MU,https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/fridges/lg-instaview-fridge-with-moodup-led-colour-panels-gf-q527mu.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide1_pcze-ww.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",7199.0,7599.0,5.26,400.0,LG,Refrigerator,fridge
Brandt Built-In Dishwasher - White (BDB424VXA),https://www.harveynorman.com.sg/home-appliances/kitchen-appliances-en/dishwashers-en/brandt-built-in-dishwasher-white-bdb424vxa.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Brandt_Built-In_Dishwasher_-_White_(BDB424VXA)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",1040.0,0.0,0.0,0.0,Brandt,Dishwasher,dishwasher
Sony Wireless Noise Cancelling Headphones - WH1000XM5PME (Smoky Pink),https://www.harveynorman.com.sg/tv-and-audio/headphones-en/over-ear-headphones-en-2/sony-wireless-noise-cancelling-headphones-wh1000xm5pme-smoky-pink.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide1_ycwo-0e.JPG?fit=fill&bg=0FFF&w=500&h=292&auto=format,compress",469.0,589.0,20.37,120.0,Sony,Smartphone,Other
Sony Wireless Noise Cancelling Earpiece - WF1000XM5PCE Smoky Pink,https://www.harveynorman.com.sg/tv-and-audio/headphones-en/wireless-headphones-en/sony-wireless-noise-cancelling-earpiece-wf1000xm5pce-smoky-pink.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Slide8_e3se-10.JPG?fit=fill&bg=0FFF&w=500&h=292&auto=format,compress",329.0,429.0,23.31,100.0,Sony,Other,Other
Belkin BoostCharge 2-in-1 Magnetic Foldable Wireless Charger with Qi2 15W - Black (WIZ028qcBK),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/iphone-accessories-en/belkin-boostcharge-2-in-1-magnetic-foldable-wireless-charger-with-qi2-15w-black-wiz028qcbk.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Belkin_BoostCharge_2-in-1_Magnetic_Foldable_Wireless_Charger_with_Qi2_15W_-_Black_(WIZ028qcBK)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",129.0,0.0,0.0,0.0,Belkin,Accessories,charger
Belkin BoostCharge 2-in-1 Magnetic Foldable Wireless Charger with Qi2 15W - White (WIZ028qcWH),https://www.harveynorman.com.sg/smart-tech-and-phones/phone-accessories/iphone-accessories-en/belkin-boostcharge-2-in-1-magnetic-foldable-wireless-charger-with-qi2-15w-white-wiz028qcwh.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Belkin_BoostCharge_2-in-1_Magnetic_Foldable_Wireless_Charger_with_Qi2_15W_-_White_(WIZ028qcWH).jpg?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",129.0,0.0,0.0,0.0,Belkin,Accessories,charger
Mophie 7 in 1 USB-C to HDMI4K/30HZ/USB3.0X2/USB-AX1/SD/TF CARD Adapter - Space Grey  (MP-409910268),https://www.harveynorman.com.sg/computing/computer-accessories-and-peripherals/chargers-cables-connectors-and-adapters/mophie-7-in-1-usb-c-to-hdmi4k-30hz-usb3.0x2-usb-ax1-sd-tf-card-adapter-space-grey-mp-409910268.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/Mophie_7_in_1_USB-C_to_HDMI4K-30HZ-USB3.0X2-USB-AX1-SD-TF_CARD_Adapter_-_Space_Grey__(MP-409910268)_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",59.9,0.0,0.0,0.0,Mophie,Accessories,adapter
DJI Osmo Action 5 Pro Standard Combo,https://www.harveynorman.com.sg/smart-tech-and-phones/cameras-en/action-cameras-en/dji-osmo-action-5-pro-standard-combo.html,"https://hnsgsfp.imgix.net/4/images/detailed/146/DJI_Osmo_Action_5_Pro_Standard_Combo_01.JPG?fit=fill&bg=0FFF&w=500&h=293&auto=format,compress",489.0,0.0,0.0,0.0,DJI,Washing Machine,combo
