product_name,current_price,original_price,discount_percentage,discount_amount,brand,category,product_type
ELECTROLUX EWF1143R7SC ULTIMATECARE 700 11KG FRONT LOAD WASHER,1456.0,1799.0,19.07,343.0,ELECTROLUX,Washing Machine,washer
SAMSUNG RT53DG7A6CB1SS TOP MOUNT FRIDGE - BLACK DOI (530l),1580.0,1599.0,1.19,19.0,SAMSUNG,Refrigerator,fridge
WHIRLPOOL 10.5KG FRONT LOAD WASHER OXYCARE FWMD10502GG,1587.0,1619.0,1.98,32.0,WHIRLPOOL,Washing Machine,washer
BLUEAIR AIR PURIFIER HEALTHPROTECT™ 7470I WITH SMARTFILTER,1600.0,1799.0,11.06,199.0,BLUEAIR,Small Appliance,air purifier
PANASONIC NH-EH10JD1WS HEAT PUMP DRYER (10KG),1598.0,1799.0,11.17,201.0,PANASONIC,Washing Machine,dryer
PANASONIC NA-S157FW1BS FRONT LOAD WASHER WITH DRYER-BLACK (11.5KG WASH/7KG DRY),1663.0,1699.0,2.12,36.0,PANASONIC,Washing Machine,washer
MITSUBISHI MR-F62EX-BRW-P 2 DOOR REFRIGERATORS (510L) BROWN,1528.0,1819.0,16.0,291.0,MITSUBISHI,Refrigerator,refrigerators
LG FV1410H3W FRONT LOAD WASHER AND DRYER (10/6KG),1578.0,2526.0,37.53,948.0,LG,Washing Machine,washer
LG 27ART10CKPL.ATC 27 IN STANBYME GEN2,1598.0,1799.0,11.17,201.0,LG,Other,Other
SAMSUNG WW11CB944DGHSP FRONT LOAD WASHER (11KG),1695.0,1699.0,0.24,4.0,SAMSUNG,Washing Machine,washer
SHARP SJ-PG60P2-BK 2 DR FRIDGE (600L),1627.0,1824.0,10.8,197.0,SHARP,Refrigerator,fridge
WHIRLPOOL FWMD10512GW FRONT LOAD WASHER (10.5KG),1618.0,1899.0,14.8,281.0,WHIRLPOOL,Washing Machine,washer
LG DFC425FM DISHWASHER (EXCLUDE INSTALLATION),1598.0,2391.0,33.17,793.0,LG,Dishwasher,dishwasher
KADEKA KM40WBC WINE CHILLER (54 CANS + 25 BOTTLES),1679.0,1788.0,6.1,109.0,KADEKA,Other,Other
ELECTROLUX EWW1143R7SC FRONT LOAD WASHER AND DRYER (11KG/7KG)/(ULTIMATECARE 700),1658.0,1999.0,17.06,341.0,ELECTROLUX,Washing Machine,washer
BOSCH 10KG FRONT LOAD WASHER WGA25400SG,1795.0,3099.0,42.08,1304.0,BOSCH,Washing Machine,washer
SAMSUNG VR7MD96514G/SP BESPOKE JET BOT STEAM COMBO+ ROBOT VACUUM CLEANER,1598.0,1799.0,11.17,201.0,SAMSUNG,Washing Machine,combo
SAMSUNG 647L 2 DOOR SIDE BY SIDE FRIDGE RS62R5004M9 SPACEMAX™,1832.0,1836.0,0.22,4.0,SAMSUNG,Refrigerator,fridge
SAMSUNG 315L ALL-AROUND COOLING 1 DOOR FREEZER RZ32M71157F/SS (SILVER),1834.0,1836.0,0.11,2.0,SAMSUNG,Refrigerator,freezer
KADEKA KS54TL WINE CHILLER (54 BOTTLES),1723.0,1838.0,6.26,115.0,KADEKA,Other,Other
MITSUBISHI MR-CGX56EX-GWH-P 3 DOOR REFRIGERATOR (446L) GLASS WHITE,1845.0,1969.0,6.3,124.0,MITSUBISHI,Refrigerator,refrigerator
MITSUBISHI MR-CGX56EX-GBK-P 3 DOOR REFRIGERATOR (446L) GLASS BLACK,1845.0,1969.0,6.3,124.0,MITSUBISHI,Refrigerator,refrigerator
ASUS 14 IN OLED R7 7730U 16GB RAM 512GB SSD,1599.0,1866.0,14.31,267.0,ASUS,TV,oled
ASUS ZENBOOK 14 OLED - 14IN R7 7730U 16GB RAM 1TB SSD WIN 11,1599.0,1866.0,14.31,267.0,ASUS,TV,oled
ELECTROLUX EDH903R7SC HEAT PUMP DRYER (9KG)/ULTIMATECARE 700,1795.0,2079.0,13.66,284.0,ELECTROLUX,Washing Machine,dryer
SAMSUNG 9KG HEAT PUMP DRYER DV90T8240SH/SP (WHITE),1883.0,1887.0,0.21,4.0,SAMSUNG,Washing Machine,dryer
BERTAZZONI FMOD6115ELB1 60CM BUILT-IN OVEN (76L)/(BLACK GLASS MODERN SERIES),1754.0,2518.0,30.34,764.0,BERTAZZONI,Kitchen Appliance,oven
BOSCH WGG25401SG FRONT LOAD WASHER (10KG),1895.0,5099.0,62.84,3204.0,BOSCH,Washing Machine,washer
BOSCH WQG24570SG HEAT PUMP DRYER (9KG),1895.0,2899.0,34.63,1004.0,BOSCH,Washing Machine,dryer
BOSCH WQG24570SG HEAT PUMP DRYER (9KG),1895.0,2899.0,34.63,1004.0,BOSCH,Washing Machine,dryer
WHIRLPOOL HWMB9002GW HEAT PUMP DRYER (9KG),1796.0,2499.0,28.13,703.0,WHIRLPOOL,Washing Machine,dryer
BOSCH FREESTANDING DISHWASHER SERIES 2 SMS2HAI12E (SILVER INOX) - EXCLUDE INSTALLATION,1895.0,2099.0,9.72,204.0,BOSCH,Dishwasher,dishwasher
BERTAZZONI WALL MOUND HOOD (60CM) K60TUKXA (EXCLUDE INSTALLATION),1789.0,1908.0,6.24,119.0,BERTAZZONI,Kitchen Appliance,hood
LG TD-H10VWD HEAT PUMP DRYER (10KG),1908.0,2710.0,29.59,802.0,LG,Washing Machine,dryer
SONY K-65S30 65IN BRAVIA 4K HDR TRILUMINOS PRO TV,1798.0,2399.0,25.05,601.0,SONY,TV,tv
MICROSOFT ZGM-00054 SURFACE LAPTOP (7TH EDITION) 13IN 512GB C10 16GB GRAPHITE,1850.0,1948.0,5.03,98.0,MICROSOFT,Laptop,laptop
SAMSUNG WW12BB944DGBSP BESPOKE FRONTLOAD WASHER (12KG),1948.0,1967.0,0.97,19.0,SAMSUNG,Washing Machine,washer
SAMSUNG UA85DU7000KXXS 85 IN UHD 4K CRYSTAL PROCESSOR SMART TV,1898.0,2999.0,36.71,1101.0,SAMSUNG,TV,tv
PHILIPS 65PQT8369/98 65 IN 4K QLED GOOGLE TV,1798.0,1999.0,10.06,201.0,PHILIPS,TV,tv
BOSCH 10KG FRONT LOAD WASHING MACHINE WGG254A0SG,1748.0,4299.0,59.34,2551.0,BOSCH,Washing Machine,washing machine
ELECTROLUX EWW1343R7SC FRONT LOAD WASHER AND DRYER (13/9KG)/(ULTIMATECARE 700),1847.0,2199.0,16.01,352.0,ELECTROLUX,Washing Machine,washer
LG GTM5967BL 2 DR FRIDGE (592L) - BLACK,1948.0,2628.0,25.88,680.0,LG,Refrigerator,fridge
ASUS UX3405MA-QD091W ZENBOOK 14 - 14IN FHD OLED INTEL ULTRA 7 155H 32GB RAM 1TB SSD,1899.0,2199.0,13.64,300.0,ASUS,TV,oled
DELONGHI EXAM440.55.BG RIVELIA AUTOMATIC COFFEE MAKERS - SAND BEIGE,1787.0,1999.0,10.61,212.0,DELONGHI,Kitchen Appliance,coffee
CUCKOO CP-XN501HM XCEL GREEN WATER PURIFIER,1997.0,2112.0,5.45,115.0,CUCKOO,Kitchen Appliance,water purifier
PANASONIC NAD106X1WS3 FRONT LOAD WASHER AND DRYER (10KG/6KG),1897.0,2299.0,17.49,402.0,PANASONIC,Washing Machine,washer
BLUEAIR AIR PURIFIER HEALTHPROTECT™ 7770I WITH SMARTFILTER,2045.0,2299.0,11.05,254.0,BLUEAIR,Small Appliance,air purifier
LG FV1411H2B FRONT LOAD WASHER AND DRYER (11/7KG),1858.0,2821.0,34.14,963.0,LG,Washing Machine,washer
LG FV1413H2BA FRONT LOAD WASHER AND DRYER (13KG/8KG),2048.0,2913.0,29.69,865.0,LG,Washing Machine,washer
PHILIPS 75PQT8169/98 75 IN 4K QLED GOOGLE TV,1898.0,2129.0,10.85,231.0,PHILIPS,TV,tv
